name,brand,upc,source,created_at,category,alt_group,serving_g,calories,carbs_g,fiber_g,sugar_g,added_sugar_g,sugar_alcohols_g,protein_g,fat_g,sodium_mg,ingredients_text,__display,net_carbs_g,categories_all
Toasted Oats,Simple Truth,11110092656,openfoodfacts,2025-09-09T20:02:38.750840,grain,oats,100.0,384.61538461538,76.923076923077,,5.1282051282051,,,12.820512820513,6.4102564102564,384.61538461538,"ORGANIC WHOLE GRAIN OAT FLOUR, ORGANIC WHEAT STARCH, ORGANIC CANE SUGAR, SEA SALT, CALCIUM CARBONATE, TOCOPHEROLS (ANTIOXIDANTS TO MAINTAIN FRESHNESS). CONTAINS: WHEAT.","{'carbs_g': '76.9g', 'fiber_g': 'not listed', 'sugar_g': '5.1g', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '12.8g', 'fat_g': '6.4g', 'sodium_mg': '385mg'}",76.923076923077,
Old fashioned whole grain oats,Kroger,11110766557,openfoodfacts,2025-09-09T20:02:14.112532,grain,oats,40.0,150.0,27.0,4.0,1.0,0.0,,5.0,2.5,0.0,"whole grain rolled oats,","{'carbs_g': '27.0g', 'fiber_g': '4.0g', 'sugar_g': '1.0g', 'added_sugar_g': '0g', 'sugar_alcohols_g': 'not listed', 'protein_g': '5.0g', 'fat_g': '2.5g', 'sodium_mg': '0mg'}",23.0,
Spring rolls,Summ,111121112111,openfoodfacts,2025-09-12T18:49:40.659519+00:00,bread,bread,117.0,292.0,33.9,3.51,4.68,,,8.19,14.0,0.0,,"{'carbs_g': '33.9g', 'fiber_g': '3.5g', 'sugar_g': '4.7g', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '8.2g', 'fat_g': '14.0g', 'sodium_mg': '0mg'}",30.39,plant-based-foods-and-beverages|plant-based-foods|cereals-and-potatoes|breads
Jasmine Brown Rice,Dynasty,11152156828,openfoodfacts,2025-09-09T20:03:16.264526,grain,rice,100.0,377.77777777778,75.555555555556,,0.0,,,6.6666666666667,0.0,0.0,"JASMINE BROWN RICE. PRODUCT OF THAILAND 0% 0% IMPORTED BY: JFC INTERNATIONAL INC. LOS ANGELES, CA 90040 Amount/serving Sodium Omg Calories 170 Vitamin D 0mcg 0% Calcium 0mg 0% Iron 0.6mg 4% • serving Total Carbohydrate 34g Dietary Fiber 2g Total Sugars Og Includes Og of Added Sugars Protein 3g % Daily Value* 12% 6% 0% Potassium 110mg 29 THAI HOM MALI BROWN R","{'carbs_g': '75.6g', 'fiber_g': 'not listed', 'sugar_g': '0g', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '6.7g', 'fat_g': '0g', 'sodium_mg': '0mg'}",75.555555555556,
Green Peas,Kasugai,11152493848,openfoodfacts,2025-09-12T18:35:06.873599+00:00,nut,nuts-seeds,100.0,466.66666666667,63.333333333333,13.333333333333,10.0,,,16.666666666667,16.666666666667,566.6666666666799,,"{'carbs_g': '63.3g', 'fiber_g': '13.3g', 'sugar_g': '10.0g', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '16.7g', 'fat_g': '16.7g', 'sodium_mg': '567mg'}",50.0,nuts-and-seeds
0112111211111,,112111211111,openfoodfacts,2025-09-09T20:06:57.282791,drink,drink,100.0,0.0,,,,,,,,0.0,,"{'carbs_g': 'not listed', 'fiber_g': 'not listed', 'sugar_g': 'not listed', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': 'not listed', 'fat_g': 'not listed', 'sodium_mg': '0mg'}",0.0,
Purified Drinking Water,Aquafina,1210806,openfoodfacts,2025-09-09T20:10:10.913729,drink,drink,100.0,0.0,0.0,,,,,0.0,0.0,0.0,"SODIUM - Amount/ServingL % DV* 'VTotal:Fat Og Sodium Omg Totak$arb, Og Sugars Og ProtAïk0g Not a'iîhificant source of Other nutrients, * Percent Daily Values (DV) are based on a 2,000 calorie djet,","{'carbs_g': '0g', 'fiber_g': 'not listed', 'sugar_g': 'not listed', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '0g', 'fat_g': '0g', 'sodium_mg': '0mg'}",0.0,
Peanut Butter Crunch,Fleischer,123456789012,openfoodfacts,2025-09-12T18:49:02.908178+00:00,bread,bread,66.0,34.9,1.94,0.99,1.94,,,6.99,0.0,25.2,"Unbleached enriched wheat flour [flour, barley malt, niacin (vitamin b3), iron, thiamin mononitrate (vitamin b1), riboflavin (vitamin b2), folic acid (vitamin b9)], water, sugar, yeast, wheat gluten, soybean oil, contains 2% or less of the following: salt, dough conditioners (mono - and diglycerides, sodium stearoyl lactylate, ethoxylated mono - and diglycerides, ascorbic acid), calcium propionate and sorbic acid (to retain freshness), yeast nutrients (calcium carbonate, calcium sulfate, monocalcium phosphate, ammonium sulfate), hydrogenated cottonseed oil, ground turmeric, soy lecithin.","{'carbs_g': '1.9g', 'fiber_g': '1.0g', 'sugar_g': '1.9g', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '7.0g', 'fat_g': '0g', 'sodium_mg': '25mg'}",0.95,plant-based-foods-and-beverages|plant-based-foods|fruits-and-vegetables-based-foods|cereals-and-potatoes|meats-and-their-products|dried-products|fruits-based-foods|meats|prepared-meats|dried-plant-based-foods|sausages|breads|dried-fruits
Basmati Brown Rice,Sainsburys,1275926,openfoodfacts,2025-09-12T18:38:47.396333+00:00,nut,nuts-seeds,180.0,247.0,55.3,1.26,0.9,,,5.04,0.9,0.018,basmati rice,"{'carbs_g': '55.3g', 'fiber_g': '1.3g', 'sugar_g': '0.9g', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '5.0g', 'fat_g': '0.9g', 'sodium_mg': '0mg'}",54.04,plant-based-foods-and-beverages|plant-based-foods|cereals-and-potatoes|seeds|cereals-and-their-products|cereal-grains|rices|aromatic-rices|indica-rices|long-grain-rices|brown-rices|basmati-rices|brown-basmati-rices
Multiseed Wholemeal Farmhouse Loaf,Sainsbury's,1318180,openfoodfacts,2025-09-12T17:50:06.668396+00:00,cereal,cereal,100.0,270.0,34.2,7.4,4.2,,,12.8,7.5,336.0,"Wholemeal Wheat Flour, Water, Mixed Seeds (14%) (Sunflower Seeds, Brown Linseed, Millet, Poppy Seeds), Wheat Gluten, Sugar, Yeast, Fermented Wheat Flour, Salt, Soya Flour, Rapeseed Oil, Spirit Vinegar, Malted Barley Flour, Malted Wheat Flour, Rye Flour, Palm Oil, Flour Treatment Agent: Ascorbic Acid.","{'carbs_g': '34.2g', 'fiber_g': '7.4g', 'sugar_g': '4.2g', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '12.8g', 'fat_g': '7.5g', 'sodium_mg': '336mg'}",26.800000000000004,
Brot,Deluxe,13356194,openfoodfacts,2025-09-09T20:08:41.994708,cereal,cereal,75.0,152.0,36.0,1.35,6.0,,,5.7,6.38,360.0,"Weizenmehl, Wasser, Invertzuckersirup, Rapsöl, 2,5% Butterreinfett, Vollei*, Magermilchpulver, Speisesalz, Maisstärke, Emulgatoren: Mono - und Diglyceride Speisefettsäuren, Natriumstearoyl-2-lactylat; Säure - regulator: Natriumacetate; Erbseneiweiß, Dextrose, Roggen - röstmalzmehl. *von Eiern aus Bodenhaltung. von Kann Spuren von Sesam enthalten. Vor Wärme schützen und trocken lagern. Ungeöffnet","{'carbs_g': '36.0g', 'fiber_g': '1.4g', 'sugar_g': '6.0g', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '5.7g', 'fat_g': '6.4g', 'sodium_mg': '360mg'}",34.65,
GOOD SEED Organic Bread,Dave's Killer Bread,13764027039,openfoodfacts,2025-09-12T18:49:11.216159+00:00,bread,bread,45.0,120.0,23.0,3.0,5.0,5.0,,5.0,2.5,160.0,"ORGANIC WHOLE WHEAT (ORGANIC CRACKED WHOLE WHEAT, ORGANIC WHOLE WHEAT FLOUR), WATER, ORGANIC WHEAT FLOUR, GOOD SEED MIX (ORGANIC WHOLE FLAX SEEDS, ORGANIC SUNFLOWER SEEDS, ORGANIC GROUND WHOLE FLAX SEEDS, ORGANIC UN-HULLED BROWN SESAME SEEDS, ORGANIC UN-HULLED BLACK SESAME SEEDS), ORGANIC DRIED CANE (SUGAR), ORGANIC WHEAT GLUTEN, ORGANIC STEEL CUT OATS, ORGANIC MOLASSES, YEAST, ORGANIC OAT FIBER, SEA SALT, ORGANIC CULTURED WHOLE WHEAT.","{'carbs_g': '23.0g', 'fiber_g': '3.0g', 'sugar_g': '5.0g', 'added_sugar_g': '5.0g', 'sugar_alcohols_g': 'not listed', 'protein_g': '5.0g', 'fat_g': '2.5g', 'sodium_mg': '160mg'}",20.0,plant-based-foods-and-beverages|plant-based-foods|cereals-and-potatoes|breads|undefined
21 Whole Grain and Seeds Organic Bread,Dave's Killer Bread,13764027053,openfoodfacts,2025-09-12T18:48:59.438850+00:00,bread,bread,45.0,110.0,22.0,4.0,4.0,8.88888888888889,,6.0,1.5,0.17,"organic whole wheat (organic whole wheat flour, organic cracked whole wheat), water, organic cane sugar, organic whole grains and seeds mix (organic whole flax seeds, organic sunflower seeds, organic tri-color quinoa (organic black quinoa, organic red quinoa, organic white quinoa), organic ground whole flax seeds, organic triticale, organic pumpkin seeds, organic rolled barley, organic rolled oats, organic rolled rye, organic blue cornmeal, organic millet, organic yellow cornmeal, organic kamut khorasan wheat, organic sorghum flour, organic buckwheat flour, organic quinoa, organic poppy seeds), organic wheat gluten, organic oat fiber, yeast, organic molasses, sea salt, organic cultured wheat flour, organic vinegar, organic acerola cherry powder, enzymes","{'carbs_g': '22.0g', 'fiber_g': '4.0g', 'sugar_g': '4.0g', 'added_sugar_g': '8.9g', 'sugar_alcohols_g': 'not listed', 'protein_g': '6.0g', 'fat_g': '1.5g', 'sodium_mg': '0mg'}",18.0,plant-based-foods-and-beverages|plant-based-foods|cereals-and-potatoes|cereals-and-their-products|breads|sliced-breads|multigrain-sliced-breads
Thin-Sliced Organic Bread Good Seed,Dave’s Killer Bread,13764027121,openfoodfacts,2025-09-12T18:49:01.416411+00:00,bread,bread,28.0,70.0,13.0,3.0,2.0,2.0,,4.0,1.5,120.0,"organic whole wheat (organic whole wheat flour, organic cracked whole wheat), water, good seed mix (organic whole flax seeds, organic sunflower seeds, organic ground whole flax seeds, organic un-hulled brown sesame seeds, organic un-hulled black sesame seeds), organic dried cane syrup (sugar), organic wheat gluten, organic oat fiber, organic steel cut oats, organic molasses, sea salt, yeast, organic cultured whole wheat,","{'carbs_g': '13.0g', 'fiber_g': '3.0g', 'sugar_g': '2.0g', 'added_sugar_g': '2.0g', 'sugar_alcohols_g': 'not listed', 'protein_g': '4.0g', 'fat_g': '1.5g', 'sodium_mg': '120mg'}",10.0,plant-based-foods-and-beverages|plant-based-foods|cereals-and-potatoes|breads|sliced-breads|multigrain-sliced-breads
Organic Powerseed Thin-Sliced,Dave's Killer Bread,13764027190,openfoodfacts,2025-09-12T18:51:59.968781+00:00,bread,bread,28.0,59.92,12.012,2.996,1.999,1.999,,2.996,1.5008,89.88,"organic whole wheat (organic whole wheat flour, organic cracked whole wheat), water, powerseed mix (organic whole flax seeds, organic ground whole flax seeds, organic rolled oats, organic sunflower seeds, organic pumpkin seeds, organic un-hulled black sesame seeds, organic un-hulled brown sesame seeds), organic fruit juices (pear, peach, pineapple), organic oat fiber, organic wheat gluten, sea salt, organic cultured whole wheat, yeast,","{'carbs_g': '12.0g', 'fiber_g': '3.0g', 'sugar_g': '2.0g', 'added_sugar_g': '2.0g', 'sugar_alcohols_g': 'not listed', 'protein_g': '3.0g', 'fat_g': '1.5g', 'sodium_mg': '90mg'}",9.016,plant-based-foods-and-beverages|plant-based-foods|cereals-and-potatoes|breads
Organic Bread,Dave's Killer Bread,13764027220,openfoodfacts,2025-09-12T18:49:05.266967+00:00,bread,bread,40.0,110.0,20.0,2.0,2.0,2.0,,4.0,2.0,170.0,"organic flours (organic wheat flour, organic whole wheat flour, organic barley flour, organic rye flour, organic spelt flour, organic millet flour, organic quinoa flour, organic potato flour), water, organic cane sugar, organic cracked whole wheat, organic canola oil, organic wheat gluten, sea salt, yeast, organic cultured wheat flour, organic vinegar, organic acerola cherry power, enzymes","{'carbs_g': '20.0g', 'fiber_g': '2.0g', 'sugar_g': '2.0g', 'added_sugar_g': '2.0g', 'sugar_alcohols_g': 'not listed', 'protein_g': '4.0g', 'fat_g': '2.0g', 'sodium_mg': '170mg'}",18.0,plant-based-foods-and-beverages|plant-based-foods|cereals-and-potatoes|cereals-and-their-products|breads|sliced-breads
POWERSEED ORGANIC BREAD,Dave’s  Killer Bread organic lower seed,13764027282,openfoodfacts,2025-09-12T18:49:41.425640+00:00,bread,bread,42.0,187.5,37.5,8.33333333333333,2.08333333333333,2.08333333333333,,10.4166666666667,4.16666666666667,0.270833333333333,"Organic Whole Wheat (Organic Whole Wheat Flour, Organic Cracked Whole Wheat), Water, Organic Powerseed Grain And Seed Mix (Organic Whole Flax Seeds, Organic Sunflower Seeds, Organic Brown Sesame Seeds, Organic Ground Whole Flax Seeds, Organic Rolled Oats), Organic Wheat Gluten, Organic Fruit Juices (Organic Apple, Organic Pear, Organic Peach), Organic Oat Fiber, Sea Salt, Organic Vinegar, Organic Cultured Wheat Flour, Yeast, Enzymes, Organic Acerola Cherry Powder.","{'carbs_g': '37.5g', 'fiber_g': '8.3g', 'sugar_g': '2.1g', 'added_sugar_g': '2.1g', 'sugar_alcohols_g': 'not listed', 'protein_g': '10.4g', 'fat_g': '4.2g', 'sodium_mg': '0mg'}",29.16666666666667,plant-based-foods-and-beverages|plant-based-foods|cereals-and-potatoes|breads|white-breads|wheat-breads
Plain awesome bagels,Dave’s killer bread,13764028012,openfoodfacts,2025-09-12T18:52:21.188970+00:00,bread,bread,95.0,273.684210526316,54.7368421052632,6.31578947368421,7.36842105263158,140.0,,10.5263157894737,3.15789473684211,0.484210526315788,"organic wheat flour, water, organic ancient grains blend (organic barley meal, organic dark rye flour, organic spelt flour, organic whole millet flour, organic quinoa flour), organic wheat gluten, organic cane sugar, organic thick rolled oats, organic expeller pressed canola oil, yeast, organic cultured wheat, organic vinegar, salt, organic fermented rye flour, organic yellow cornmeal, wheat enzymes,","{'carbs_g': '54.7g', 'fiber_g': '6.3g', 'sugar_g': '7.4g', 'added_sugar_g': '140.0g', 'sugar_alcohols_g': 'not listed', 'protein_g': '10.5g', 'fat_g': '3.2g', 'sodium_mg': '0mg'}",48.42105263157899,plant-based-foods-and-beverages|plant-based-foods|cereals-and-potatoes|breads|special-breads|bagel-breads
Organic Bagels EPIC EVERYTHING,Dave's Killer Bread,13764028036,openfoodfacts,2025-09-12T18:52:02.455260+00:00,bread,bread,95.0,280.0,49.0,5.0,5.0,5.0,,13.0,6.0,390.0,"organic wheat (organic wheat flour, organic whole wheat flour), water, everything mix (organic chia seeds, organic dehydrated minced garlic, organic dehydrated chopped onion, organic whole flax seeds, organic un-hulled black sesame seeds, organic un-hulled brown sesame seeds, organic poppy seeds, coarse sea salt), organic wheat gluten, organic cane sugar, organic thick rolled oats, organic sunflower seeds, yeast, organic vinegar, organic cultured wheat, organic expeller pressed canola oil, salt, organic fermented rye flour, organic yellow cornmeal, wheat enzymes,","{'carbs_g': '49.0g', 'fiber_g': '5.0g', 'sugar_g': '5.0g', 'added_sugar_g': '5.0g', 'sugar_alcohols_g': 'not listed', 'protein_g': '13.0g', 'fat_g': '6.0g', 'sodium_mg': '390mg'}",44.0,plant-based-foods-and-beverages|plant-based-foods|cereals-and-potatoes|breads|special-breads|bagel-breads
Thin-Sliced Organic Bread,Dave's Killer Bread,13764028074,openfoodfacts,2025-09-12T18:49:16.555214+00:00,bread,bread,28.0,70.0,15.0,2.0,3.0,3.0,,3.0,1.0,115.0,"organic sprouted whole wheat flour, water, organic cracked whole wheat, organic cane sugar, organic rolled oats, organic sprouted wheat flakes, organic expeller pressed canola oil, contains 2% or less of each of the following: organic wheat gluten, organic molasses, organic oat fiber, yeast, sea salt, organic sprouted rye flakes, organic cultured wheat flour, organic vinegar, organic whole wheat flour, organic acerola powder, enzymes","{'carbs_g': '15.0g', 'fiber_g': '2.0g', 'sugar_g': '3.0g', 'added_sugar_g': '3.0g', 'sugar_alcohols_g': 'not listed', 'protein_g': '3.0g', 'fat_g': '1.0g', 'sodium_mg': '115mg'}",13.0,plant-based-foods-and-beverages|plant-based-foods|cereals-and-potatoes|breads|sliced-breads|white-breads|multigrain-sliced-breads|wheat-breads
Thin-Sliced Organic Bread,Dave's Killer Bread,13764028081,openfoodfacts,2025-09-12T18:50:39.402096+00:00,bread,bread,28.0,70.0,14.0,2.0,2.0,7.14285714285715,,3.0,1.5,95.0,"organic flours (organic wheat flour, organic whole wheat flour, organic barley flour, organic rye flour, organic spelt flour, organic millet flour, organic quinoa flour, organic potato flour), water, organic cane sugar, organic cracked whole wheat, organic expeller pressed canola oil, contains 2% or less of each of the following: sea salt, organic vinegar, yeast, organic wheat gluten, organic cultured wheat flour, organic acerola cherry powder, enzymes, 553-111219 assurano","{'carbs_g': '14.0g', 'fiber_g': '2.0g', 'sugar_g': '2.0g', 'added_sugar_g': '7.1g', 'sugar_alcohols_g': 'not listed', 'protein_g': '3.0g', 'fat_g': '1.5g', 'sodium_mg': '95mg'}",12.0,plant-based-foods-and-beverages|plant-based-foods|cereals-and-potatoes|breads|sliced-breads
Lightly Salted Pistachios,Wonderful,14113910651,openfoodfacts,2025-09-09T20:07:20.192472,nut,nuts-seeds,28.0,571.428571428572,28.5714285714286,10.7142857142857,7.14285714285715,0.0,,21.4285714285714,46.4285714285714,0.232142857142857,"Pistachios, sea salt.","{'carbs_g': '28.6g', 'fiber_g': '10.7g', 'sugar_g': '7.1g', 'added_sugar_g': '0g', 'sugar_alcohols_g': 'not listed', 'protein_g': '21.4g', 'fat_g': '46.4g', 'sodium_mg': '0mg'}",17.857142857142904,
Wonderful Pistachios Roasted & Salted,Wonderful,14113910712,openfoodfacts,2025-09-09T20:07:08.946375,nut,nuts-seeds,100.0,120.0,6.0,2.0,2.0,0.0,,5.0,10.0,105.0,"Pistachios, sea salt.","{'carbs_g': '6.0g', 'fiber_g': '2.0g', 'sugar_g': '2.0g', 'added_sugar_g': '0g', 'sugar_alcohols_g': 'not listed', 'protein_g': '5.0g', 'fat_g': '10.0g', 'sodium_mg': '105mg'}",4.0,
Roasted & Salted Pistachios,Wonderful,14113912549,openfoodfacts,2025-09-09T20:07:10.475428,nut,nuts-seeds,28.0,160.0,8.0,3.064,2.04,,,6.0,13.0,137.6,"PISTACHIOS, SEA SALT.","{'carbs_g': '8.0g', 'fiber_g': '3.1g', 'sugar_g': '2.0g', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '6.0g', 'fat_g': '13.0g', 'sodium_mg': '138mg'}",4.936,
Honey Nut Cheerios,General Mills,16000124790,openfoodfacts,2025-09-12T18:36:54.314686+00:00,nut,nuts-seeds,37.0,140.0,30.0,3.0,12.0,12.0,,3.0,2.0,210.0,"Whole Grain Oats, Sugar, Corn Starch, Honey, Brown Sugar Syrup, Salt, Tripotassium Phosphate, Canola Oil, Natural Almond Flavor, Vitamin E, Calcium Carbonate, Vitamin C, sodium ascorbate, Iron, Zinc, mineral nutrients, niacinamide, Vitamin B6, pyridoxine hydrochloride, Vitamin B1, thiamin mononitrate, Vitamin A, palmitate, Vitamin B2, riboflavin, folic acid, Vitamin B13, Vitamin D3","{'carbs_g': '30.0g', 'fiber_g': '3.0g', 'sugar_g': '12.0g', 'added_sugar_g': '12.0g', 'sugar_alcohols_g': 'not listed', 'protein_g': '3.0g', 'fat_g': '2.0g', 'sodium_mg': '210mg'}",27.0,plant-based-foods-and-beverages|plant-based-foods|breakfasts|cereals-and-potatoes|seeds|cereals-and-their-products|breakfast-cereals|cereal-grains|extruded-cereals
Honey Nut Cheerios,Cheerios,16000125063,openfoodfacts,2025-09-09T20:06:33.051246,cereal,cereal,37.0,140.0,30.0,3.0,12.0,32.4324324324324,,3.0,2.0,210.0,"whole grain oats, sugar, oat bran, corn starch, honey, brown sugar syrup, salt, tripotassium phosphate, canola oil, natural almond flavor, vitamin e (mixed tocopherols) (added to preserve freshness), calcium carbonate, zinc and iron (mineral nutrients), vitamin c (sodium ascorbate), a b vitamin (niacinamide), vitamin b6 (pyridoxine hydrochloride), vitamin b2 (riboflavin), vitamin b1 (thiamin mononitrate), vitamin a (palmitate), a b vitamin (folic acid), vitamin b12, vitamin d3.","{'carbs_g': '30.0g', 'fiber_g': '3.0g', 'sugar_g': '12.0g', 'added_sugar_g': '32.4g', 'sugar_alcohols_g': 'not listed', 'protein_g': '3.0g', 'fat_g': '2.0g', 'sodium_mg': '210mg'}",27.0,
Lightly Sweetened Maple Berry Blend Cereal,Morning Summit,16000147652,openfoodfacts,2025-09-09T20:06:30.596293,cereal,cereal,55.0,280.0,31.0,5.0,13.0,11.0,,6.0,15.0,80.0,"almonds, whole grain wheat, organic maple syrup, whole grain oats, sugar, dried coconut, pumpkin seeds, organic coconut oil, dried sweetened cranberries (cranberries, sugar, glycerin), dried sweetened cherries (cherries, sugar, glycerin), corn bran, brown sugar syrup, vanilla extract, salt, vitamin e (mixed tocopherols) added to preserve freshness,","{'carbs_g': '31.0g', 'fiber_g': '5.0g', 'sugar_g': '13.0g', 'added_sugar_g': '11.0g', 'sugar_alcohols_g': 'not listed', 'protein_g': '6.0g', 'fat_g': '15.0g', 'sodium_mg': '80mg'}",26.0,
Cheerios,General Mills,16000170032,openfoodfacts,2025-09-09T20:06:08.261110,cereal,cereal,39.0,140.0,29.0,4.0,2.0,1.0,,5.0,2.5,0.19,"whole grain oats, corn starch, sugar, salt, tripotassium phosphate, vitamin e (mixed tocopherols) (added to preserve freshness), calcium carbonate, iron, zinc, vitamin c (sodium ascorbate), a b vitamin (niacinamide), vitamin be (pyridoxine hydrochloride), vitamin a (palmitate), vitamin b, (thiamin mononitrate), a b vitamin (folic acid), vitamin b12, vitamin d3.","{'carbs_g': '29.0g', 'fiber_g': '4.0g', 'sugar_g': '2.0g', 'added_sugar_g': '1.0g', 'sugar_alcohols_g': 'not listed', 'protein_g': '5.0g', 'fat_g': '2.5g', 'sodium_mg': '0mg'}",25.0,
Cheerios Heart shape imp,Cheerios,16000275263,openfoodfacts,2025-09-09T20:06:09.953356,cereal,cereal,39.0,140.0,29.0,4.0,11.0,1.0,,5.0,2.5,190.0,"whole grain oats, corn starch, sugar, salt, tripotassium phosphate, vitamin e (mixed tocopherols), calcium carbonate, iron and zinc (mineral nutrients), vitamin c (sodium ascorbate), a b vitamin (niacinamide), vitamin b6 (pyridoxine hydrochloride), vitamin a (palmitate), vitamin b1 (thiamin mononitrate), a b vitamin (folic acid), vitamin b12, vitamin d3,","{'carbs_g': '29.0g', 'fiber_g': '4.0g', 'sugar_g': '11.0g', 'added_sugar_g': '1.0g', 'sugar_alcohols_g': 'not listed', 'protein_g': '5.0g', 'fat_g': '2.5g', 'sodium_mg': '190mg'}",25.0,
Cheerios Original,Cheerios,16000435094,openfoodfacts,2025-09-09T20:06:17.275078,cereal,cereal,39.0,140.0,29.0,4.0,2.0,2.0,,5.0,2.5,0.19,"Whole Grain Oats, Corn Starch, Sugar, Salt, Tripotassium Phosphate. Vitamin E (mixed tocopherols) (Added to Preserve Freshness). Vitamins and Minerals [Calcium Carbonate, Iron (mineral), Zinc (mineral), Vitamin C (sodium ascorbate), niacinamide, Vitamin B6 (pyridoxine hydrochloride), Vitamin A (palmitate), Vitamin B1 (thiamin mononitrate), folic acid, Vitamin B12, Vitamin D3].","{'carbs_g': '29.0g', 'fiber_g': '4.0g', 'sugar_g': '2.0g', 'added_sugar_g': '2.0g', 'sugar_alcohols_g': 'not listed', 'protein_g': '5.0g', 'fat_g': '2.5g', 'sodium_mg': '0mg'}",25.0,
Cheerios Grandkids imp,General Mills,16000487727,openfoodfacts,2025-09-09T20:06:16.370067,cereal,cereal,39.0,140.01,29.016,4.017,2.001,,,4.992,2.4999,189.93,"whole grain oats, corn starch, sugar, salt, tripotassium phosphate, vitamin e (mixed tocopherols) added to preserve freshness,vitamins and minerals: calcium carbonate, iron and zinc (mineral nutrients), vitamin c (sodium ascorbate), a b vitamin (niacinamide), vitamin b6 (pyridoxine hydrochloride), vitamin a (palmitate), vitamin b1 (thiamin mononitrate), a b vitamin (folic acid), vitamin b12, vitamin d3,","{'carbs_g': '29.0g', 'fiber_g': '4.0g', 'sugar_g': '2.0g', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '5.0g', 'fat_g': '2.5g', 'sodium_mg': '190mg'}",24.999,
Coconut Milk,aroy-d,16229001711,openfoodfacts,2025-09-09T20:10:06.196682,drink,drink,83.0,150.0,2.0,,2.0,,,1.0,15.0,15.03,"COCONUT MILK 99.96%, POLYSORBATE 60","{'carbs_g': '2.0g', 'fiber_g': 'not listed', 'sugar_g': '2.0g', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '1.0g', 'fat_g': '15.0g', 'sodium_mg': '15mg'}",2.0,
Yankee,,16843697000,openfoodfacts,2025-09-12T17:29:32.589498+00:00,drink,drink,100.0,571.42,21.43,7.14,3.57,,,25.0,50.0,790.0,"ARACHIDES TORREFIEES, SUCRE, HUILE VEGETALE ENTIEREMENT HYDROGENEE (HUILE DE SOJA), SEL","{'carbs_g': '21.4g', 'fiber_g': '7.1g', 'sugar_g': '3.6g', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '25.0g', 'fat_g': '50.0g', 'sodium_mg': '790mg'}",14.29,
KEFIR cultured lowfat milk,Lifeway,17077102322,openfoodfacts,2025-09-09T20:10:10.123250,drink,drink,240.0,38.16,3.696,0.02,3.696,,,3.888,0.8496,125.04,"Pasteurized lowfat milk, nonfat milk, pectin, vitamin a palmitate, vitamin d3, live and active cultures.","{'carbs_g': '3.7g', 'fiber_g': '0.0g', 'sugar_g': '3.7g', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '3.9g', 'fat_g': '0.8g', 'sodium_mg': '125mg'}",3.676,
Brown Rice & Quinoa,Minute,17400140380,openfoodfacts,2025-09-09T20:02:58.650886,grain,rice,125.0,220.0,42.0,4.0,1.0,0.0,,5.0,4.0,0.19,"WATER, BROWN RICE, RED QUINOA, SUNFLOWER OIL, SEA SALT, SUNFLOWER LECITHIN (EMULSIFIER). RIVIANA FOODS INC. HOUSTON, TX 77019 U.S.A. Riviana RIVIANA FOODS INC. OVER STIR & Microwa Cover and","{'carbs_g': '42.0g', 'fiber_g': '4.0g', 'sugar_g': '1.0g', 'added_sugar_g': '0g', 'sugar_alcohols_g': 'not listed', 'protein_g': '5.0g', 'fat_g': '4.0g', 'sodium_mg': '0mg'}",38.0,
SPANISH RICE,Minute,17400224424,openfoodfacts,2025-09-09T20:03:25.984530,grain,rice,125.0,180.0,37.0,4.0,1.0,0.0,,3.0,2.5,550.0,,"{'carbs_g': '37.0g', 'fiber_g': '4.0g', 'sugar_g': '1.0g', 'added_sugar_g': '0g', 'sugar_alcohols_g': 'not listed', 'protein_g': '3.0g', 'fat_g': '2.5g', 'sodium_mg': '550mg'}",33.0,
