name,brand,upc,source,created_at,category,alt_group,serving_g,calories,carbs_g,fiber_g,sugar_g,added_sugar_g,sugar_alcohols_g,protein_g,fat_g,sodium_mg,ingredients_text,__display,net_carbs_g,categories_all
"great grains Raisins, Dates & Pecans Cereal",Post,884912126115,openfoodfacts,2025-09-12T18:38:46.921919+00:00,nut,nuts-seeds,54.0,200.0,40.0,4.0,13.0,4.0,,4.0,4.0,140.0,"Whole Grain Wheat, Raisins, Cane Sugar, Whole Grain Rolled Oats, Dates, Wheat Flour, Malted Barley Flour, Rice Flour, Pecans, Expeller Pressed Canola Oil, Salt, Rice Syrup, Molasses. BHT added to preserve freshness. Vitamins and Minerals: Reduced Iron, Zinc Oxide, Niacinamide (Vitamin B3), Pyridoxine Hydrochloride (Vitamin B6), Vitamin A Palmitate, Riboflavin (Vitamin B2), Thiamin Mononitrate (Vitamin B1), Folic Acid, Vitamin D3, Vitamin B12. CONTAINS WHEAT AND PECANS.","{'carbs_g': '40.0g', 'fiber_g': '4.0g', 'sugar_g': '13.0g', 'added_sugar_g': '4.0g', 'sugar_alcohols_g': 'not listed', 'protein_g': '4.0g', 'fat_g': '4.0g', 'sodium_mg': '140mg'}",36.0,plant-based-foods-and-beverages|plant-based-foods|breakfasts|cereals-and-potatoes|seeds|cereals-and-their-products|breakfast-cereals|cereal-grains|mueslis|crunchy-cereal-clusters|oat
Shredded Wheat'n Bran,Post Consumer Brands,884912180599,openfoodfacts,2025-09-09T20:06:22.107284,cereal,cereal,60.0,210.0,49.02,7.98,0.0,0.0,,7.02,1.5,0.0,"Whole Grain Wheat,Wheat Bran,BHT","{'carbs_g': '49.0g', 'fiber_g': '8.0g', 'sugar_g': '0g', 'added_sugar_g': '0g', 'sugar_alcohols_g': 'not listed', 'protein_g': '7.0g', 'fat_g': '1.5g', 'sodium_mg': '0mg'}",41.040000000000006,
Instant Noodles Casserole Beef Flavour,Thai Preserved Food Factory Co. Ltd.,8850100002488,openfoodfacts,2025-09-09T20:05:23.557036,grain,pasta-noodles,60.0,52.2,7.2,3.0,0.36,,,1.14,2.04,264.0,"noodles (52,2 g)  wheat  flour 67,50%, palm oil 10,00%, water 1,20%, salt 0,50%, seasoning sachet (4,8 g): sugar 4,60%, garlic powder 3,60%, salt 2,50%,  soy  sauce powder 1,33%, chili powder 1,00%, dried spring onion 0,50%, monosodium glutamate 0,50%, artificial beef flavour 0,17%, black pepper 0,10%, oil sachet (3,0g): palm oil 5,00%, shallot 1,50%","{'carbs_g': '7.2g', 'fiber_g': '3.0g', 'sugar_g': '0.4g', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '1.1g', 'fat_g': '2.0g', 'sodium_mg': '264mg'}",4.2,
8850389100684,Sappe Public Company Limited,8850389100684,openfoodfacts,2025-09-09T20:09:51.201045,drink,drink,320.0,170.0,41.6,1.6,38.4,,,0.0,0.0,64.0,"water, lychee juice from concentrate 25%, coconut 25%, fructose, sucrose, acidifiers (citric acid, calcium lactate), lychee flavor, preservative e211, gelling agent: gellan gum, color: e129 - 0.0001% (this dye may have adverse effects on activity and attention in children),","{'carbs_g': '41.6g', 'fiber_g': '1.6g', 'sugar_g': '38.4g', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '0g', 'fat_g': '0g', 'sodium_mg': '64mg'}",40.0,
Mogu mogu,Sappe Public Company Limited,8850389111352,openfoodfacts,2025-09-09T20:10:04.446859,drink,drink,320.0,160.0,38.4,0.0,38.4,,,0.0,0.0,89.6,"water 72.57%, nata de coco 15%, fructose 7%, sugar 5%, acidity regulators (citric acid, calcium lactate), nature identical flavor (melon), preservative (sodium benzoate), added gelling agent (gellan gum), artificial colors (tartrazine, brilliant blue).","{'carbs_g': '38.4g', 'fiber_g': '0g', 'sugar_g': '38.4g', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '0g', 'fat_g': '0g', 'sodium_mg': '90mg'}",38.4,
Wild rice,,890166000507,openfoodfacts,2025-09-09T20:03:17.061971,grain,rice,100.0,160.0,34.0,3.0,1.0,0.0,,13.3333,0.0,0.0,Wild rice,"{'carbs_g': '34.0g', 'fiber_g': '3.0g', 'sugar_g': '1.0g', 'added_sugar_g': '0g', 'sugar_alcohols_g': 'not listed', 'protein_g': '13.3g', 'fat_g': '0g', 'sodium_mg': '0mg'}",31.0,
"Organic quinoa with sea salt, sea salt",Ancient Harvest,89125105005,openfoodfacts,2025-09-09T20:03:58.100749,grain,quinoa,140.0,280.0,44.0,7.98,3.0,,,11.0,7.0,0.34,"cooked organic quinoa (water, organic white quinoa), organic coconut oil, sea salt,","{'carbs_g': '44.0g', 'fiber_g': '8.0g', 'sugar_g': '3.0g', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '11.0g', 'fat_g': '7.0g', 'sodium_mg': '0mg'}",36.019999999999996,
Pre-Rinsed & Ready to Cook Gluten Free Traditional Quinoa,Ancient Harvest,89125148019,openfoodfacts,2025-09-09T20:03:56.709456,grain,quinoa,45.0,170.0,29.0,3.0,1.0,0.0,,6.0,2.5,0.0,,"{'carbs_g': '29.0g', 'fiber_g': '3.0g', 'sugar_g': '1.0g', 'added_sugar_g': '0g', 'sugar_alcohols_g': 'not listed', 'protein_g': '6.0g', 'fat_g': '2.5g', 'sodium_mg': '0mg'}",26.0,
Washed & Rinsed Organic Quinoa: Harmony Quinoa Gluten Free,Ancient Harvest,89125180002,openfoodfacts,2025-09-09T20:03:44.128533,grain,quinoa,44.0,170.0,30.0,1.98,3.0,,,5.0,2.0,2.68,"Blend of organic whole grain white, red and black quinoa","{'carbs_g': '30.0g', 'fiber_g': '2.0g', 'sugar_g': '3.0g', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '5.0g', 'fat_g': '2.0g', 'sodium_mg': '3mg'}",28.02,
Maple Pecans,Sahale Snacks,893869000331,openfoodfacts,2025-09-12T18:33:39.492288+00:00,nut,nuts-seeds,100.0,518.5185,51.8519,,40.7407,,,7.4074,37.037,407.4074,"PECANS, WALNUTS, DRIED CHERRIES (CHERRIES, SUGAR), DRIED APPLES (APPLES, SUGAR), ORGANIC CANE SUGAR, MAPLE SUGAR, ORGANIC TAPIOCA SYRUP, BROWN SUGAR, SEA SALT, CINNAMON, NATURAL FLAVORS","{'carbs_g': '51.9g', 'fiber_g': 'not listed', 'sugar_g': '40.7g', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '7.4g', 'fat_g': '37.0g', 'sodium_mg': '407mg'}",51.8519,nuts-and-seeds
Organic Premium Quinoa,Nature's Earthly Choice,897034002021,openfoodfacts,2025-09-09T20:03:39.272950,grain,quinoa,100.0,372.09302325581,62.790697674419,,4.6511627906977,,,11.627906976744,0.0,0.0,Organic quinoa,"{'carbs_g': '62.8g', 'fiber_g': 'not listed', 'sugar_g': '4.7g', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '11.6g', 'fat_g': '0g', 'sodium_mg': '0mg'}",62.790697674419,
Premium Quinoa,Nature's Earthly Choice,897034002267,openfoodfacts,2025-09-09T20:03:58.865713,grain,quinoa,100.0,372.093023255814,62.7906976744186,11.6279069767442,4.65116279069767,0.0,,11.6279069767442,4.65116279069767,0.0,Organic Quinoa,"{'carbs_g': '62.8g', 'fiber_g': '11.6g', 'sugar_g': '4.7g', 'added_sugar_g': '0g', 'sugar_alcohols_g': 'not listed', 'protein_g': '11.6g', 'fat_g': '4.7g', 'sodium_mg': '0mg'}",51.1627906976744,
Organic Chia Seeds,Betterbody Foods,897922002041,openfoodfacts,2025-09-12T18:39:10.607002+00:00,nut,nuts-seeds,30.0,150.0,12.99,9.99,,,,5.01,9.0,0.0,"organic chia seeds,","{'carbs_g': '13.0g', 'fiber_g': '10.0g', 'sugar_g': 'not listed', 'added_sugar_g': 'not listed', 'sugar_alcohols_g': 'not listed', 'protein_g': '5.0g', 'fat_g': '9.0g', 'sodium_mg': '0mg'}",3.0,plant-based-foods-and-beverages|plant-based-foods|cereals-and-potatoes|seeds|cereals-and-their-products|cereal-grains|chia
Coconut Water,Vita Coco,898999000022,openfoodfacts,2025-09-09T20:09:46.313324,drink,drink,100.0,60.0,15.0,,14.0,2.0,,0.0,0.0,80.0,"Coconut water, sugar, ascorbic acid","{'carbs_g': '15.0g', 'fiber_g': 'not listed', 'sugar_g': '14.0g', 'added_sugar_g': '2.0g', 'sugar_alcohols_g': 'not listed', 'protein_g': '0g', 'fat_g': '0g', 'sodium_mg': '80mg'}",15.0,
Coconut Water The Original,Vita Coco,898999000503,openfoodfacts,2025-09-09T20:09:38.120273,drink,drink,240.0,45.0,11.0,,11.0,1.0,,0.0,0.0,240.0,"Coconut Water 99%, Vitamin C","{'carbs_g': '11.0g', 'fiber_g': 'not listed', 'sugar_g': '11.0g', 'added_sugar_g': '1.0g', 'sugar_alcohols_g': 'not listed', 'protein_g': '0g', 'fat_g': '0g', 'sodium_mg': '240mg'}",11.0,
